,Player ID,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Year,Years Below Median,Outliers,Outliers No Rookie,Number of Years Played,Name
446,5225,31.5,68.0,0.5,4.0,3.5,0.0,5.8,34.75,0.061,0.3005,0.1985,0.245,0.2595,0.2255,,38.0,0.2,-4.15,-1.0,-0.35,2013.5,3,0,0,5,Roger Kieschnick
447,5227,100.083333333333,359.5,3.08333333333333,44.3333333333333,28.4166666666667,4.58333333333333,5.9,16.75,0.0789166666666667,0.329416666666667,0.2775,0.335583333333333,0.356166666666667,0.306,,90.9166666666667,0.241666666666667,0.191666666666667,-3.9,0.816666666666667,2015.5,1,0,0,2,Jon Jay
448,5235,99.5,367.571428571429,11.7142857142857,46.5714285714286,47.3571428571429,2.92857142857143,9.09285714285714,14.95,0.149285714285714,0.294642857142857,0.2665,0.344142857142857,0.415785714285714,0.332357142857143,,110.357142857143,-0.478571428571429,12.5,0.0142857142857143,2.5,2015.5,4,1,0,5,Justin Turner
449,5238,31.0,64.0,1.5,6.5,4.0,1.5,6.1,29.95,0.1035,0.2465,0.185,0.234,0.288,0.2275,0.2605,41.5,0.5,-3.75,1.2,0.0,2018.5,3,1,1,5,Isaac Galloway
450,5247,98.0,402.833333333333,11.8333333333333,44.3333333333333,42.1666666666667,6.83333333333333,6.76666666666667,19.8666666666667,0.174666666666667,0.302333333333333,0.2625,0.320333333333333,0.437166666666667,0.3295,,106.833333333333,1.7,1.86666666666667,0.1,1.61666666666667,2013.5,1,0,0,2,Brett Lawrie
451,5248,64.2222222222222,210.333333333333,1.33333333333333,25.0,17.4444444444444,8.88888888888889,8.97777777777778,14.9555555555556,0.0637777777777778,0.250888888888889,0.216222222222222,0.285777777777778,0.280111111111111,0.258777777777778,,56.2222222222222,1.71111111111111,-5.6,0.0777777777777778,0.188888888888889,2010.0,0,0,0,1,Alexi Casilla
452,5254,101.1,389.6,8.0,44.7,36.6,6.3,12.14,22.82,0.1337,0.2962,0.2372,0.335,0.3711,0.3129,,97.9,-0.03,1.53,-7.02,0.76,2017.5,3,1,1,5,Robbie Grossman
453,5273,48.6363636363636,153.181818181818,2.81818181818182,14.0,13.1818181818182,0.0909090909090909,8.31818181818182,33.3090909090909,0.0802727272727273,0.243909090909091,0.181727272727273,0.257181818181818,0.261818181818182,0.234545454545455,,42.8181818181818,-1.30909090909091,-9.06363636363636,4.71818181818182,0.0818181818181818,2017.0,2,0,0,2,Sandy Leon
454,5275,56.1538461538462,201.384615384615,3.15384615384615,21.6153846153846,21.1538461538462,1.30769230769231,12.0153846153846,20.9615384615385,0.109846153846154,0.269384615384615,0.225384615384615,0.335615384615385,0.335307692307692,0.306769230769231,,90.6923076923077,-0.7,0.407692307692308,6.29230769230769,1.38461538461538,2014.0,1,0,0,1,Francisco Cervelli
455,5277,27.4,89.4,1.0,5.0,6.0,0.4,3.68,23.86,0.0664,0.208,0.1682,0.2008,0.2346,0.194,,10.8,-0.34,-7.82,2.0,-0.32,2015.0,2,0,0,2,Tuffy Gosewisch
