"Player ID","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","Year","Years Below Median","Outliers","Outliers No Rookie","Number of Years Played"
16511,9,6,0,32,32,178.1,7.97,1.82,1.06,0.275,93.1,3.48,4,3.61,3.43,2.7,2022,1,0,0,2
16943,12,9,0,31,30,164,8.78,4.45,0.99,0.273,93,3.9,3.71,4.14,4.33,1.9,2018,0,0,0,2
16977,14,10,0,31,31,170.2,6.64,2.9,0.79,0.261,91.3,3.11,4.04,3.86,4.54,2.7,2018,1,0,0,3
17085,10,10,0,32,32,180,8.7,2.65,1.05,0.283,93.5,3.75,3.75,3.71,3.56,2.8,2022,1,0,0,2
17186,3,1,0,12,12,69,12.13,2.61,0.65,0.234,97,2.09,2.79,2.48,3.3,2.5,2020,0,0,0,1
17479,11,8,0,33,33,196.1,10.59,2.52,1.15,0.242,94.5,2.75,3.38,3.46,3.64,4.7,2019,0,0,0,2
18000,11,11,0,31,30,191.1,8.94,2.07,1.18,0.237,92.7,2.96,3.54,3.59,3.77,3.6,2022,1,0,0,1
18383,13,4,0,29,29,174.2,7.32,2.11,0.72,0.28,92.9,2.68,4.11,3.45,3.85,4,2019,0,0,0,2
18413,13,8,0,29,28,164.1,7.34,2.08,1.59,0.264,93.6,3.94,4.56,4.6,4.32,1.1,2022,0,0,0,1
18525,13.5,7.5,0,32,32,174.6,11.69,3.755,0.935,0.2845,96.85,3.055,3.175,3.255,3.61,4.4,2021.5,0,0,0,1
18684,9.66666666666667,12.6666666666667,0,32.3333333333333,32.3333333333333,210.166666666667,7.94666666666667,2.61666666666667,0.866666666666667,0.267666666666667,97.2666666666667,3.11666666666667,3.66333333333333,3.65333333333333,3.97,4.1,2020.66666666667,4,0,1,5
19206,16,7,1,33,32,174.2,7.01,4.43,1.13,0.274,94.1,3.35,5.09,4.93,4.55,0.9,2019,0,0,0,1
19244,9.5,14,0,31,31,179.55,6.335,1.955,1.2,0.2875,90.95,4.11,4.66,4.255,4.585,1.7,2021.5,1,0,0,2
19291,7.5,3,0,21.5,21.5,128,9.82,2.715,0.93,0.2515,93.55,2.645,3.425,3.355,3.465,2.85,2021,1,0,0,2
19312,15,5,0,32,32,186.1,6.18,2.27,1.01,0.278,93.9,3.38,4.31,4.12,4.39,2.2,2022,1,0,0,2
19320,10,10,0,30,30,163.2,8.69,3.08,1.26,0.271,90.6,4.18,3.86,4.17,4.36,2.1,2019,1,0,0,1
19361,11.5,6.5,0,30.5,30.5,184.5,11.72,2.05,0.7,0.284,96.35,2.685,2.525,2.385,2.575,6.05,2021.5,0,0,0,1
19427,12,5.66666666666667,0,25.6666666666667,25.3333333333333,163.733333333333,11.33,1.91333333333333,0.973333333333333,0.283333333333333,93,2.59666666666667,3.32,2.75333333333333,2.75,4.53333333333333,2020.33333333333,0,0,0,1
19479,4,6,0,12,12,74,8.39,1.95,1.34,0.333,91.4,4.74,4.45,4.03,3.92,1.2,2020,0,0,0,1
19665,21,5,0,30,30,180.1,8.68,2.65,0.95,0.284,95.1,3.19,3.89,3.58,3.3,2.9,2022,1,0,0,2
21483,12,8,0,28,28,166.1,10.5,2.06,1.03,0.251,97,2.54,2.79,3,2.6,3.5,2022,1,0,0,1
22250,13,6,0,32,32,185.2,8.43,2.38,0.92,0.292,96.1,3.2,4.11,3.46,3.78,3.2,2022,0,0,0,1
25377,4,5,0,12,12,64.1,8.53,3.22,1.12,0.26,93,4.06,3.84,4.08,4.05,1,2020,0,0,0,1
