"Player ID","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","Year","Years Below Median","Outliers","Outliers No Rookie","Number of Years Played"
1581,42.1818181818182,0.363636363636364,0,0,0,0,0,6.06363636363636,0,0,0,0,0,0,NA,NA,0,-0.1,0.0454545454545455,0,2017,0,0,0,1
1609,105.181818181818,399,5.09090909090909,43.2727272727273,39.0909090909091,4.81818181818182,5.26363636363636,13.1818181818182,0.106454545454545,0.308636363636364,0.276909090909091,0.314363636363636,0.383454545454545,0.305636363636364,NA,86.3636363636364,0.790909090909091,-4.64545454545455,1.28181818181818,0.981818181818182,2011,0,0,0,1
1621,17,26,0,1,2,0,0,11.5,0,0.217,0.2,0.192,0.2,0.171,NA,-10,0.3,-3.4,-3.1,-0.5,2006,1,0,0,2
1643,22,41,0,3,2,0,2.4,12.2,0.103,0.229,0.205,0.22,0.308,0.228,NA,38,0,-3,-0.6,-0.2,2010,2,0,0,3
1658,86.5,299.5,9.875,33.375,39.875,1.375,6.2125,20.575,0.16625,0.280375,0.2465,0.30225,0.412625,0.311625,NA,88.375,-1.1125,-1.325,-6.4875,0.175,2009.625,0,0,0,1
1673,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,-100,0,-0.3,-0.7,-0.1,2007,0,0,0,1
1686,13.75,25.25,0,2.5,0.5,0,4.125,8.275,0.142,0.25775,0.2335,0.2745,0.37575,0.2825,NA,65.75,0.225,-1.575,0.225,-0.05,2008,1,0,0,1
1704,64.3333333333333,69.6666666666667,1,11.6666666666667,2.66666666666667,2,6.13333333333333,16.1666666666667,0.0676666666666667,0.27,0.229,0.282,0.297,0.261666666666667,NA,50,-0.7,-4.76666666666667,2.83333333333333,0.0666666666666667,2007,0,0,0,2
1718,25.6666666666667,48,0.333333333333333,6.33333333333333,2,0.333333333333333,4,15.4666666666667,0.0803333333333333,0.26,0.221666666666667,0.253333333333333,0.301666666666667,0.245666666666667,NA,41.6666666666667,0.566666666666667,-2.93333333333333,-0.433333333333333,-0.166666666666667,2008.33333333333,5,0,0,6
1741,59,109.5,1.5,11.5,10.5,1,1.5,14.7,0.0735,0.2395,0.211,0.2335,0.284,0.2285,NA,30,0.1,-7.95,-2.4,-0.65,2008,2,0,0,4
